GENE_SYMBOL,NAME,COSMIC_GENE_ID,CHROMOSOME,GENOME_START,GENOME_STOP,CHR_BAND,SOMATIC,GERMLINE,TUMOUR_TYPES_SOMATIC,TUMOUR_TYPES_GERMLINE,CANCER_SYNDROME,TISSUE_TYPE,MOLECULAR_GENETICS,ROLE_IN_CANCER,MUTATION_TYPES,TRANSLOCATION_PARTNER,OTHER_GERMLINE_MUT,OTHER_SYNDROME,TIER,SYNONYMS
HSP90AB1,heat shock protein 90 alpha family class B member 1,COSG103171,6,44246166.0,44253888.0,6p21.1,y,n,NHL,,,L,Dom,fusion,T,BCL6,n,,1,"HSP90AB1,ENSG00000096384.19,P08238,3326"
IL6ST,interleukin 6 signal transducer,COSG71872,5,55935095.0,55994993.0,5q11.2,y,n,hepatocellular carcinoma,,,E,Dom,oncogene,O,,n,,1,"IL6ST,ENSG00000134352.19,P40189,3572,CD130,GP130"
ITGB1,integrin subunit beta 1,COSG60418,10,32900319.0,33005792.0,10p11.22,y,n,"cutaneous melanoma, lung adenocarcinoma",,,"O, E",,,"Mis, N",,n,,2,"ITGB1,ENSG00000150093.18,P05556,3688,CD29,GPIIA"
KTN1,kinectin 1,COSG63135,14,55559072.0,55701526.0,14q22.3,y,n,papillary thyroid,,,E,Dom,fusion,T,RET,n,,1,"KTN1,ENSG00000126777.17,Q86UP2,3895,CG1,KIAA0004,KNT"
LIFR,LIF receptor alpha,COSG108001,5,38474963.0,38608354.0,5p13.1,y,n,salivary adenoma,,,E,Dom,fusion,T,PLAG1,n,,1,"LIFR,ENSG00000113594.9,P42702,3977,CD118"
LPP,LIM domain containing preferred translocation partner in lipoma,COSG108197,3,188153284.0,188890671.0,3q28,y,n,"lipoma, leukaemia",,,"L, M",Dom,"oncogene, fusion",T,"HMGA2, KMT2A, C12orf9",n,,1,"LPP,ENSG00000145012.13,Q93052,4026"
MDM2,MDM2 proto-oncogene,COSG71043,12,68808176.0,68850686.0,12q15,y,n,"sarcoma, glioma, colorectal, other tumour types",,,"M, O, E, L",Dom,oncogene,A,,n,,1,"MDM2,ENSG00000135679.23,Q00987,4193,HDM2,MGC5370"
MLLT10,"MLLT10, histone lysine methyltransferase DOT1L cofactor",COSG111142,10,21524675.0,21743630.0,10p12.31,y,n,AL,,,L,Dom,"oncogene, fusion",T,"KMT2A, PICALM, CDK6",n,,1,"MLLT10,ENSG00000078403.16,P55197,8028,AF10"
MSN,moesin,COSG88623,X,65588377.0,65741931.0,Xq12,y,n,ALCL,,,L,Dom,fusion,T,ALK,n,,1,"MSN,ENSG00000147065.16,P26038,4478"
MYC,"MYC proto-oncogene, bHLH transcription factor",COSG111896,8,127735434.0,127741434.0,8q24.21,y,n,"B-CLL, breast cancer, Burkitt lymphoma, gastric cancer, ovarian cancer",,,"L, E",Dom,"oncogene, fusion","A, T","IGK, BCL5, BCL7A , BTG1, TRA, IGH",n,,1,"MYC,ENSG00000136997.17,4609,MYCC,bHLHe39,c-Myc"
MYH9,myosin heavy chain 9,COSG99603,22,36281277.0,36388067.0,22q12.3,y,n,ALCL,,,L,Dom,"TSG, fusion",T,ALK,y,"Deafness, autosomal dominant 17, Epstein syndrome, Fechtner syndrome, May-Hegglin anomaly, Sebastian syndrome",1,"MYH9,ENSG00000100345.21,P35579,4627,EPSTS,FTNS,MHA,NMHC-II-A,NMMHCA"
NCOA1,nuclear receptor coactivator 1,COSG74320,2,24491914.0,24770702.0,2p23.3,y,n,alveolar rhabdomyosarcoma,,,M,Dom,fusion,T,PAX3,n,,1,"NCOA1,ENSG00000084676.15,Q15788,8648,F-SRC-1,KAT13A,NCoA-1,RIP160,SRC1,bHLHe74"
NOTCH2,notch 2,COSG91716,1,119911553.0,120069626.0,1p12,y,n,"marginal zone lymphoma, DLBCL, bladder",,,"L, E",Dom/Rec,"oncogene, TSG","N, F, Mis",,y,"Hajdu-Cheney syndrome, serpentine fibula-polycystic kidney syndrome",1,"NOTCH2,ENSG00000134250.19,Q04721,4853"
NR2F2,nuclear receptor subfamily 2 group F member 2,COSG60087,15,96325938.0,96340263.0,15q26.2,y,n,"endometrioid carcinoma, soft-tissue sarcoma",,,"E, M",,,"A, Mis, O",,n,,2,"NR2F2,ENSG00000185551.14,P24468,7026,COUP-TFII,COUPTF2,COUPTFB,NF-E3,SVP40"
PDGFRA,platelet derived growth factor receptor alpha,COSG95745,4,54229097.0,54298247.0,4q12,y,y,"GIST, idiopathic hypereosinophilic syndrome, paediatric glioblastoma",GIST,familial gastrointestinal stromal tumour,"L, M, O",Dom,"oncogene, fusion","Mis, O, T",FIP1L1,n,,1,"PDGFRA,ENSG00000134853.11,P16234,5156,CD140a,GAS9,PDGFR2"
PDGFRB,platelet derived growth factor receptor beta,COSG64110,5,150113837.0,150155872.0,5q32,y,n,"MPN, AML, CMML, CML",,,L,Dom,"oncogene, fusion",T,"ETV6, TRIP11, HIP1, RABEP1, H4, NIN, SPECC1, PDE4DIP",n,,1,"PDGFRB,ENSG00000113721.13,P09619,5159,CD140b,JTK12,PDGFR1"
PRKCB,protein kinase C beta,COSG108035,16,23835946.0,24220611.0,16p12.2,y,n,adult T-cell lymphoma-leukaemia,,,L,,,Mis,,n,,2,"PRKCB,ENSG00000166501.13,5579,PKC(beta)"
PTEN,phosphatase and tensin homolog,COSG93969,10,87863113.0,87971930.0,10q23.31,y,y,"glioma, prostate, endometrial","harmartoma, glioma, prostate, endometrial","Cowden syndrome, Bannayan-Riley-Ruvalcaba syndrome","L, E, M, O",Dom,TSG,"D, Mis, N, F, S",,n,,1,"PTEN,ENSG00000171862.10,P60484,5728,MMAC1,PTEN1,TEP1"
PTPN13,"protein tyrosine phosphatase, non-receptor type 13",COSG99040,4,86594315.0,86815171.0,4q21.3,y,y,"lung, NSCLC, gastric, peritoneal carcinomatosis",hepatocellular,Familial Hepatocellular Carcinoma,E,Rec,TSG,"Mis, N",,n,,1,"PTPN13,ENSG00000163629.12,Q12923,5783,PTP-BAS,PTP-BL,PTP1E,PTPL1"
PTPRD,"protein tyrosine phosphatase, receptor type D",COSG115052,9,8314246.0,10612723.0,9p24.1,y,n,"lung cancer, kidney cancer, HNSCC, glioblastoma",,,"E, O",,TSG,"D, N, Mis",,n,,2,"PTPRD,ENSG00000153707.16,P23468,5789,HPTP,PTPD"
RB1,RB transcriptional corepressor 1,COSG77480,13,48303726.0,48599436.0,13q14.2,y,y,"retinoblastoma, sarcoma, breast, small cell lung carcinoma","retinoblastoma, sarcoma, breast, small cell lung carcinoma",familial retinoblastoma,"L, E, M, O",Rec,TSG,"D, Mis, N, F, S",,n,,1,"RB1,ENSG00000139687.14,P06400,5925,PPP1R130,RB"
RECQL4,RecQ like helicase 4,COSG81638,8,144511288.0,144517845.0,8q24.3,n,y,,"osteosarcoma, skin basal cell, skin sqamous cell",Rothmund-Thompson syndrome,M,Rec,"oncogene, TSG","N, F, S",,n,,1,"RECQL4,ENSG00000160957.12,O94761,9401,RecQ4"
RHOA,ras homolog family member A,COSG65553,3,49359145.0,49412998.0,3p21.31,y,n,"diffuse gastric, T cell lymphomas, paediatric Burkitt lymphoma",,,"E, L",Dom,"oncogene, TSG","Mis, F, O",,n,,1,"RHOA,ENSG00000067560.10,P61586,387,RHOH12,Rho12,RhoA"
RNF213,ring finger protein 213,COSG79337,17,80260866.0,80398786.0,17q25.3,y,n,ALCL,,,L,Dom,fusion,T,ALK,n,,1,"RNF213,ENSG00000173821.19,57674,ALO17,KIAA1554,NET57"
ROBO2,roundabout guidance receptor 2,COSG87597,3,75906695.0,77649964.0,3p12.3,y,n,"colorectal adenocarcinoma, melanoma",,,E,,TSG,F,,n,,2,"ROBO2,ENSG00000185008.17,Q9HCK4,6092,KIAA1568"
RPN1,ribophorin I,COSG77777,3,128619970.0,128681075.0,3q21.3,y,n,AML,,,L,Dom,fusion,T,MECOM,n,,1,"RPN1,ENSG00000163902.11,P04843,6184,OST1"
SF3B1,splicing factor 3b subunit 1,COSG68035,2,197389784.0,197435091.0,2q33.1,y,n,myelodysplastic syndrome,,,L,Dom,oncogene,Mis,,n,,1,"SF3B1,ENSG00000115524.15,O75533,23451,Hsh155,PRPF10,Prp10,SAP155,SF3b155"
SRGAP3,SLIT-ROBO Rho GTPase activating protein 3,COSG90916,3,8980591.0,9363053.0,3p25.3,y,n,pilocytic astrocytoma,,,O,Dom,fusion,T,RAF1,n,,2,"SRGAP3,ENSG00000196220.15,O43295,9901,ARHGAP14,KIAA0411,MEGAP,WRP"
TGFBR1,transforming growth factor beta receptor 1,COSG101127,9,99104038.0,99154192.0,9q22.33,y,n,pancreatic ductal adenocarcinoma,,,E,,,"D, F, Mis, N",,n,,2,"TGFBR1,ENSG00000106799.12,P36897,7046,ACVRLK4,ALK-5,ALK5,TBR-i,TBRI"
TGFBR2,transforming growth factor beta receptor 2,COSG68111,3,30606502.0,30694142.0,3p24.1,y,y,"head and neck, colorectal",colorectal,Hereditary Nonpolyposis Colorectal Cancer type 6,E,Rec,TSG,"Mis, F, N",,y,Loeys-Dietz syndrome 2,1,"TGFBR2,ENSG00000163513.17,P37173,7048,TBR-ii,TBRII"
TP53,tumor protein p53,COSG115384,17,7661779.0,7687550.0,17p13.1,y,y,"breast, colorectal, lung, sarcoma, prostate, adrenocortical, glioma, Spitzoid tumour, multiple other tumour types","breast, sarcoma, adrenocortical carcinoma, glioma, multiple other tumour types",Li-Fraumeni syndrome,"L, E, M, O",Rec,"oncogene, TSG, fusion","Mis, N, F, T, D",NTRK1,n,,1,"TP53,ENSG00000141510.16,P04637,7157,LFS1,p53"
XPC,"XPC complex subunit, DNA damage recognition and repair factor",COSG95459,3,14145147.0,14178783.0,3p25.1,n,y,,"skin basal cell, skin squamous cell, melanoma",xeroderma pigmentosum (C),E,Rec,TSG,"Mis, N, F, S",,n,,1,"XPC,ENSG00000154767.14,Q01831,7508,RAD4,XPCC"
