gene,drug,score,source
PTEN,OSIMERTINIB,0.0494,DRIVER
PTEN,ONATASERTIB,0.2305,DRIVER
PTEN,CAPMATINIB,0.2305,DRIVER
PTEN,AKT INHIBITOR LY2780301,0.1729,DRIVER
PTEN,AZD8055,0.0576,DRIVER
PTEN,ALPELISIB,0.1441,DRIVER
PTEN,CAPECITABINE,0.0136,DRIVER
PTEN,PICTILISIB,0.1571,DRIVER
PTEN,SONOLISIB,0.0576,DRIVER
PTEN,TEMOZOLOMIDE,0.0494,DRIVER
PTEN,OMIPALISIB,0.0173,DRIVER
PTEN,ABIRATERONE ACETATE,0.0741,DRIVER
PTEN,INFIGRATINIB,0.0256,DRIVER
PTEN,COBIMETINIB,0.0364,DRIVER
PTEN,GEDATOLISIB,0.064,DRIVER
PTEN,LETROZOLE,0.0384,DRIVER
PTEN,PAN-AKT INHIBITOR ARQ751,0.2305,DRIVER
PTEN,AKT INHIBITOR MK2206,0.2469,DRIVER
PTEN,NIRAPARIB,0.0407,DRIVER
PTEN,ZSTK474,0.0314,DRIVER
PTEN,IDELALISIB,0.0768,DRIVER
PTEN,RIBOCICLIB,0.0576,DRIVER
PTEN,OSI-027,0.0768,DRIVER
PTEN,VISTUSERTIB,0.0864,DRIVER
PTEN,BINIMETINIB,0.0691,DRIVER
PTEN,DABRAFENIB,0.064,DRIVER
PTEN,VELIPARIB,0.0314,DRIVER
PTEN,MIRDAMETINIB,0.0461,DRIVER
PTEN,VANDETANIB,0.0179,DRIVER
PTEN,PI3K INHIBITOR BGT226,0.1729,DRIVER
PTEN,OXALIPLATIN,0.0364,DRIVER
PTEN,ENCORAFENIB,0.1537,DRIVER
PTEN,BAY1125976,0.1383,DRIVER
PTEN,SAPANISERTIB,0.0601,DRIVER
PTEN,ABT-737,0.1729,DRIVER
PTEN,DOCETAXEL ANHYDROUS,0.0083,DRIVER
PTEN,PROGESTERONE,0.0117,DRIVER
PTEN,VS-5584,0.0629,DRIVER
PTEN,TAS-117,0.1729,DRIVER
PTEN,SAMOTOLISIB,0.0922,DRIVER
PTEN,XL765,0.0384,DRIVER
PTEN,IZORLISIB,0.1152,DRIVER
PTEN,DS-7423,0.023,DRIVER
PTEN,TOPOTECAN HYDROCHLORIDE,0.0288,DRIVER
PTEN,IPILIMUMAB,0.0461,DRIVER
PTEN,IMATINIB,0.0096,DRIVER
PTEN,OLAPARIB,0.0225,DRIVER
PTEN,ATEZOLIZUMAB,0.0192,DRIVER
PTEN,GDC-0152,0.3457,DRIVER
PTEN,APITOLISIB,0.0266,DRIVER
PTEN,MEK INHIBITOR CI-1040,0.3457,DRIVER
PTEN,TALAZOPARIB,0.0494,DRIVER
PTEN,PEMETREXED DISODIUM,0.0266,DRIVER
PTEN,PANULISIB,0.0432,DRIVER
PTEN,FIMEPINOSTAT,0.0266,DRIVER
PTEN,CARBOPLATIN,0.0241,DRIVER
PTEN,U0126,0.1152,DRIVER
PTEN,TGX-221,0.1729,DRIVER
PTEN,MIRANSERTIB,0.1729,DRIVER
PTEN,TASELISIB,0.1152,DRIVER
PTEN,PI3KBETA INHIBITOR AZD8186,0.1729,DRIVER
PTEN,NERATINIB,0.0461,DRIVER
PTEN,RIGOSERTIB SODIUM,0.1152,DRIVER
PTEN,SF1126,0.0576,DRIVER
PTEN,REGORAFENIB,0.021,DRIVER
PTEN,SELUMETINIB,0.0314,DRIVER
PTEN,BLZ945,0.3457,DRIVER
PTEN,FULVESTRANT,0.0415,DRIVER
PTEN,KU-55933,0.2305,DRIVER
PTEN,AZD8186,0.3457,DRIVER
PTEN,RMC-5552,0.3457,DRIVER
PTEN,MTOR INHIBITOR,0.0576,DRIVER
PTEN,GEMCITABINE,0.0075,DRIVER
PTEN,GSK2256098,0.6914,DRIVER
PTEN,ONC201,0.1729,DRIVER
PTEN,GDC-0879,0.1383,DRIVER
PTEN,SUNITINIB,0.0144,DRIVER
PTEN,E6201,0.0988,DRIVER
PTEN,CETUXIMAB,0.0561,DRIVER
PTEN,TEMSIROLIMUS,0.1844,DRIVER
PTEN,VOXTALISIB,0.0432,DRIVER
PTEN,COMMENSAL BACTERIAL STRAIN FORMULATION VE800,0.3457,DRIVER
PTEN,KU-60019,0.1729,DRIVER
PTEN,ONVANSERTIB,0.1152,DRIVER
PTEN,EPIDERMAL GROWTH FACTOR RECEPTOR TYROSINE KINASE INHIBITOR,0.0384,DRIVER
PTEN,LAPATINIB,0.0112,DRIVER
PTEN,CX-6258,0.1729,DRIVER
PTEN,COPANLISIB,0.0471,DRIVER
PTEN,DACTOLISIB,0.0432,DRIVER
PTEN,IPATASERTIB,0.4086,DRIVER
PTEN,AZD5991,0.2593,DRIVER
PTEN,GANITUMAB,0.1152,DRIVER
PDGFC,SUNITINIB,1.0876,SURFACE
PRKCB,RUBOXISTAURIN,0.8157,MUT
PRKCB,CEP-2563 DIHYDROCHLORIDE,0.1919,MUT
PRKCB,QUERCETIN,0.0413,MUT
PRKCB,UCN-01,0.1631,MUT
PRKCB,SOTRASTAURIN ACETATE,0.6525,MUT
PRKCB,MIDOSTAURIN,0.0932,MUT
PRKCB,BRYOSTATIN 1,0.8157,MUT
PRKCB,RO31-8220,0.8157,MUT
PRKCB,INGENOL MEBUTATE,0.2039,MUT
PRKCB,DEXMEDETOMIDINE HYDROCHLORIDE,0.5932,MUT
PRKCB,GSK-690693,0.1919,MUT
PRKCB,ATENOLOL,0.1813,MUT
PRKCB,ENZASTAURIN,1.3595,MUT
PRKCB,ENOXOLONE,0.6525,MUT
PRKCB,BRYOSTATIN 1,0.2331,MUT
PRKCB,SOTRASTAURIN,0.0535,MUT
PDGFRB,IMATINIB,0.0918,SURFACE
PDGFRB,REGORAFENIB,0.0801,SURFACE
PDGFRB,PETROSIOL A,1.3216,SURFACE
PDGFRB,BECAPLERMIN,0.8811,SURFACE
PDGFRB,RINUCUMAB,0.6608,SURFACE
PDGFRB,ENMD-981693,0.0348,SURFACE
PDGFRB,SORAFENIB,0.0632,SURFACE
PDGFRB,MASITINIB,0.1166,SURFACE
PDGFRB,PAZOPANIB,0.0696,SURFACE
PDGFRB,TIVOZANIB HYDROCHLORIDE,0.1322,SURFACE
PDGFRB,TOZASERTIB,0.0091,SURFACE
PDGFRB,TELATINIB,0.472,SURFACE
PDGFRB,MOTESANIB,0.2403,SURFACE
PDGFRB,PD-0166285,0.0254,SURFACE
PDGFRB,SU-014813,0.0944,SURFACE
PDGFRB,X-82,0.3965,SURFACE
PDGFRB,RABEPRAZOLE,0.0254,SURFACE
PDGFRB,ILORASERTIB,0.0114,SURFACE
PDGFRB,XL999,0.1322,SURFACE
PDGFRB,SUNITINIB,0.1239,SURFACE
PDGFRB,LEUCOVORIN CALCIUM,0.0367,SURFACE
PDGFRB,RG-1530,0.0141,SURFACE
PDGFRB,ROMIPLOSTIM,0.0826,SURFACE
PDGFRB,MK-2461,0.0275,SURFACE
PDGFRB,CATEQUENTINIB,0.1322,SURFACE
PDGFRB,PEGPLERANIB SODIUM,0.1101,SURFACE
PDGFRB,TAMATINIB,0.0082,SURFACE
PDGFRB,CP-547632,0.015,SURFACE
PDGFRB,CRENOLANIB,0.0441,SURFACE
PDGFRB,TG100-801,0.0413,SURFACE
PDGFRB,AXITINIB,0.0944,SURFACE
PDGFRB,IRINOTECAN HYDROCHLORIDE,0.021,SURFACE
PDGFRB,TAK-593,0.2643,SURFACE
PDGFRB,TOCERANIB PHOSPHATE,0.2203,SURFACE
PDGFRB,XL-999,0.0601,SURFACE
PDGFRB,AST-487,0.0161,SURFACE
PDGFRB,FAMITINIB,0.1888,SURFACE
PDGFRB,CM-082,0.1652,SURFACE
PDGFRB,LENVATINIB,0.0348,SURFACE
PDGFRB,FLUOROURACIL,0.0114,SURFACE
PDGFRB,XL820,0.3304,SURFACE
PDGFRB,VANDETANIB,0.0114,SURFACE
PDGFRB,PUQUITINIB MESYLATE DIHYDRATE,0.0601,SURFACE
PDGFRB,BARASERTIB-HQPA,0.0287,SURFACE
PDGFRB,DORAMAPIMOD,0.0287,SURFACE
PDGFRB,PONATINIB,0.0508,SURFACE
PDGFRB,QUIZARTINIB,0.0348,SURFACE
PDGFRB,MIDOSTAURIN,0.0189,SURFACE
PDGFRB,AMUVATINIB,0.1888,SURFACE
PDGFRB,VARGATEF,0.0826,SURFACE
PDGFRB,DOVITINIB LACTATE,0.3304,SURFACE
PDGFRB,HESPERADIN,0.0165,SURFACE
PDGFRB,BEVACIZUMAB,0.033,SURFACE
PDGFRB,CENISERTIB,0.0056,SURFACE
PDGFRB,SNS-314,0.0157,SURFACE
PDGFRB,FORETINIB,0.0348,SURFACE
PDGFRB,RIPRETINIB,0.1322,SURFACE
PDGFRB,BARASERTIB,0.0508,SURFACE
PDGFRB,ORANTINIB,0.1525,SURFACE
PDGFRB,JI-101,0.2203,SURFACE
PDGFRB,CEP-2563 DIHYDROCHLORIDE,0.0389,SURFACE
PDGFRB,NVP-TAE684,0.0064,SURFACE
PDGFRB,VATALANIB,0.1468,SURFACE
PDGFRB,NINTEDANIB ESYLATE,0.1322,SURFACE
PDGFRB,PAZOPANIB HYDROCHLORIDE,0.2203,SURFACE
PDGFRB,CEDIRANIB,0.0354,SURFACE
PDGFRB,TANDUTINIB,0.1416,SURFACE
PDGFRB,LINIFANIB,0.0413,SURFACE
PDGFRB,PF-562271,0.0061,SURFACE
PDGFRB,NILOTINIB,0.0413,SURFACE
PDGFRB,XL-820,0.2203,SURFACE
PDGFRB,SOTRASTAURIN,0.0108,SURFACE
PDGFRB,DOVITINIB,0.0327,SURFACE
PDGFRB,SERALUTINIB,0.1101,SURFACE
PDGFRB,TRAPIDIL,0.2203,SURFACE
PDGFRB,PP2,0.022,SURFACE
PDGFRB,DASATINIB ANHYDROUS,0.0522,SURFACE
PDGFRB,CDP-860,0.6608,SURFACE
PAK1,MLN-8054,0.18,SURFACE
PAK1,CENISERTIB,0.0442,SURFACE
PAK1,NVP-TAE684,0.0507,SURFACE
PAK1,BARASERTIB-HQPA,0.227,SURFACE
PAK1,TAMATINIB,0.0644,SURFACE
PAK1,LAUROGUADINE,0.1864,SURFACE
PAK1,ILORASERTIB,0.045,SURFACE
PAK1,PF-562271,0.0483,SURFACE
PAK1,RG-1530,0.0555,SURFACE
PAK1,TOZASERTIB,0.0715,SURFACE
PRKD3,DOVITINIB,0.0126,SURFACE
PRKD3,TIGILANOL TIGLATE,0.1158,SURFACE
PRKD3,GW441756X,0.0196,SURFACE
PRKD3,MIDOSTAURIN,0.0364,SURFACE
PRKD3,TAMATINIB,0.0157,SURFACE
PRKD3,CRT 0066101,0.4244,SURFACE
PRKD3,R-1487,0.1415,SURFACE
PRKD3,VX-702,0.1819,SURFACE
PRKD3,PD-0166285,0.0245,SURFACE
PRKD3,BMS-345541,0.1158,SURFACE
PRKD3,GSK-269962A,0.0289,SURFACE
PRKD3,SB220025,0.0411,SURFACE
PRKD3,QUERCETIN,0.0161,SURFACE
PRKD3,NVP-TAE684,0.0124,SURFACE
PRKD3,SB-242235,0.1819,SURFACE
PRKD3,SP-600125,0.0143,SURFACE
PRKD3,BAY 61-3606,0.0311,SURFACE
PRKD3,FASUDIL,0.0439,SURFACE
PRKD3,GSK-690693,0.0749,SURFACE
PRKD3,GEFITINIB,0.019,SURFACE
PRKD3,BRYOSTATIN 1,0.1061,SURFACE
PRKD3,PHA-767491,0.0193,SURFACE
PRKD3,BMS-387032,0.0749,SURFACE
PRKD3,BRYOSTATIN 1,0.0909,SURFACE
PRKD3,CYC-116,0.0131,SURFACE
PRKD3,ADAVOSERTIB,0.0455,SURFACE
PRKD3,CEP-2563 DIHYDROCHLORIDE,0.0749,SURFACE
PRKD3,ILORASERTIB,0.011,SURFACE
PRKD3,SOTRASTAURIN,0.0209,SURFACE
PRKD3,JNJ-7706621,0.0232,SURFACE
PRKD3,SB-431542,0.1415,SURFACE
PRKD3,TAK-715,0.0531,SURFACE
PRKD3,BPKDI,0.4244,SURFACE
PRKD3,PALBOCICLIB,0.025,SURFACE
PRKD3,PF-562271,0.0118,SURFACE
PRKD3,SB202190,0.0354,SURFACE
PRKD3,UCN-01,0.0637,SURFACE
PRKD3,CENISERTIB,0.0108,SURFACE
PRKD3,GATIFLOXACIN ANHYDROUS,0.1819,SURFACE
PAPOLA,ETOPOSIDE,1.8001,SURFACE
NME1,LAMIVUDINE,0.435,MUT
NME1,LYCOPENE,2.6102,MUT
NME1,TENOFOVIR,0.7458,MUT
NME1,ZIDOVUDINE,0.7734,MUT
NME1,ADEFOVIR DIPIVOXIL,1.1601,MUT
PRNP,BREFELDIN A,7.4577,SURFACE
P4HA1,SAFIRONIL,17.4013,SURFACE
P4HA1,"PYRIDINE-2,5-DICARBOXYLIC ACID",34.8025,SURFACE
P4HA1,LUFIRONIL,17.4013,SURFACE
MMP14,CTS-1027,1.0654,SURFACE
MMP14,EPIGALLOCATECHIN GALLATE,0.4387,SURFACE
MMP14,PYROGALLOL RED,0.2983,SURFACE
MMP14,CARMINIC ACID,0.9322,SURFACE
MMP14,ILOMASTAT,0.2983,SURFACE
MMP14,PRINOMASTAT,1.0654,SURFACE
MMP14,REBIMASTAT,1.2429,SURFACE
NLGN1,FLUOROURACIL,0.9001,MUT
NTF3,ALTEPLASE,0.1912,MUT
NTF3,RISPERIDONE,0.0599,MUT
NTF3,NALOXONE HYDROCHLORIDE,0.2362,MUT
NTF3,COLCHICINE,0.0772,MUT
NTF3,RECOMBINANT CYTOKINE,0.1544,MUT
NTF3,IL-6,0.2114,MUT
NTF3,EPOETIN ALFA,0.1181,MUT
NTF3,PHENYTOIN SODIUM,0.0956,MUT
NTF3,NERVE GROWTH FACTOR,0.3346,MUT
NTF3,VINCRISTINE,0.0496,MUT
NTF3,RECOMBINANT TRANSFORMING GROWTH FACTOR,0.1825,MUT
NTF3,NICOTINE POLACRILEX,0.0873,MUT
NTF3,HEPARAN SULFATE,0.3346,MUT
NTF3,VANILLOID,4.0157,MUT
NTF3,GENISTEIN,0.0692,MUT
NTF3,NIMODIPINE,0.2114,MUT
NTF3,PILOCARPINE HYDROCHLORIDE,0.2114,MUT
NTF3,LIOTHYRONINE,0.1217,MUT
NTF3,CAPSAICIN,0.2362,MUT
NTF3,AMINOGLYCOSIDE ANTIBIOTIC,0.4462,MUT
NTF3,RECOMBINANT INTERFERON BETA,2.0078,MUT
NTF3,DACTINOMYCIN,0.1147,MUT
NTF3,"INSULIN, REGULAR, HUMAN",0.0758,MUT
NTF3,H2O2,0.1544,MUT
NTF3,INOSITOL,0.2677,MUT
NTF3,CYCLOPHOSPHAMIDE ANHYDROUS,0.0496,MUT
MYC,UBENIMEX,0.2131,DRIVER
MYC,DIETHYLSTILBESTROL,0.0452,DRIVER
MYC,METHYLPREDNISOLONE,0.0829,DRIVER
MYC,PERILLYL ALCOHOL,0.4972,DRIVER
MYC,RONICICLIB,0.0266,DRIVER
MYC,OLAPARIB,0.0162,DRIVER
MYC,DINACICLIB,0.0621,DRIVER
MYC,BRYOSTATIN 1,0.1065,DRIVER
MYC,TETRADECANOYLPHORBOL ACETATE,0.0324,DRIVER
MYC,LIF,0.1864,DRIVER
MYC,AMINOPTERIN,1.4915,DRIVER
MYC,LOBAPLATIN,1.4915,DRIVER
MYC,PREXASERTIB,0.1243,DRIVER
MYC,CISPLATIN,0.0051,DRIVER
MYC,AN-9,1.4915,DRIVER
MYC,POLATUZUMAB VEDOTIN,0.0393,DRIVER
MYC,PREGNANT MARE SERUM GONADOTROPIN,0.1356,DRIVER
MYC,MELATONIN,0.0514,DRIVER
MYC,PROTEASOME INHIBITOR,0.0746,DRIVER
MYC,VORINOSTAT,0.0266,DRIVER
MYC,BROMOCRIPTINE,0.0481,DRIVER
MYC,HYPOXANTHINE,0.4972,DRIVER
MYC,ESTRONE,0.2034,DRIVER
MYC,HISTONE DEACETYLASE INHIBITOR,0.1657,DRIVER
MYC,NOVOBIOCIN,0.2983,DRIVER
MYC,SULINDAC,0.071,DRIVER
MYC,RECOMBINANT INTERFERON,0.0382,DRIVER
MYC,AMG-900,0.0932,DRIVER
MYC,GLUTAMINE,0.1864,DRIVER
MYC,MILODISTIM,0.4972,DRIVER
MYC,BIZELESIN,1.4915,DRIVER
MYC,TRAIL,0.0994,DRIVER
MYC,PROTOPORPHYRIN,0.0597,DRIVER
MYC,AFIMOXIFENE,0.1065,DRIVER
MYC,IBRUTINIB,0.0219,DRIVER
MYC,RECOMBINANT INTERFERON ALFA,0.2486,DRIVER
MYC,VERAPAMIL,0.0331,DRIVER
MYC,THYROTROPIN,0.4475,DRIVER
MYC,RECOMBINANT INTERLEUKIN-1,0.0829,DRIVER
MYC,THROMBIN,0.0621,DRIVER
MYC,TEMOZOLOMIDE,0.0355,DRIVER
MYC,INDOMETHACIN,0.0373,DRIVER
MYC,WARFARIN,0.0452,DRIVER
MYC,AMIFOSTINE ANHYDROUS,0.2983,DRIVER
MYC,LITHIUM,0.0355,DRIVER
MYC,DRUGSATFDA.NDA:008378,0.1657,DRIVER
MYC,PD-98059,0.0403,DRIVER
MYC,COBALT CO-60,1.4915,DRIVER
MYC,RECOMBINANT MACROPHAGE COLONY-STIMULATING FACTOR,1.4915,DRIVER
MYC,ORNITHINE DECARBOXYLASE INHIBITOR,1.4915,DRIVER
MYC,SOMATROPIN (RECOMBINANT DNA ORIGIN),0.0994,DRIVER
MYC,PREDNISONE,0.0331,DRIVER
MYC,ELSAMITRUCIN,0.7458,DRIVER
MYC,ACIVICIN,0.5593,DRIVER
MYC,AZACITIDINE,0.0373,DRIVER
MYC,FOLIC ACID,0.0621,DRIVER
MYC,ANTIBIOTIC,0.0877,DRIVER
MYC,TROGLITAZONE,0.0574,DRIVER
MYC,IL-5,0.2983,DRIVER
MYC,PHOSPHORODIAMIDATE MORPHOLINO OLIGOMER AVI-4126,0.7458,DRIVER
MYC,THIOGUANINE,0.0452,DRIVER
MYC,METHYLNITROSOUREA,0.1657,DRIVER
MYC,IMATINIB,0.0207,DRIVER
MYC,MITOGUAZONE,1.4915,DRIVER
MYC,ADOZELESIN,1.4915,DRIVER
MYC,GANETESPIB,0.0932,DRIVER
MYC,QUINAPRIL,0.4972,DRIVER
MYC,ALISERTIB,0.0155,DRIVER
MYC,IL-9,0.4972,DRIVER
MYC,CALCITRIOL,0.1864,DRIVER
OR10P1,METOPROLOL,4.0157,MUT
OR10P1,ATENOLOL,1.4501,MUT
PECAM1,RESVERATROL,2.1308,SURFACE
MSR1,H2O2,4.0157,SURFACE
METAP2,TOSEDOSTAT,0.3263,SURFACE
METAP2,BELORANIB,9.7882,SURFACE
METAP2,PPI-2458,13.0509,SURFACE
METAP2,EVEXOMOSTAT,6.5255,SURFACE
METAP2,FUMAGILLIN-DERIVED POLYMER CONJUGATE XMT-1107,6.5255,SURFACE
METAP2,M8891,1.6314,SURFACE
METAP2,D-METHIONINE,6.5255,SURFACE
METAP2,ACLIMOSTAT,6.5255,SURFACE
PTH1R,9-AMINOCAMPTOTHECIN,0.339,SURFACE
PTH1R,PARATHYROID HORMONE,2.4859,SURFACE
PTH1R,ABALOPARATIDE,3.7288,SURFACE
PTH1R,TERIPARATIDE ACETATE,3.7288,SURFACE
PTH1R,ESTRADIOL VALERATE,0.1587,SURFACE
PTH1R,PARATHYROID HORMONE,1.8644,SURFACE
PTH1R,OSTABOLIN-C,2.4859,SURFACE
PTH1R,RECOMBINANT TRANSFORMING GROWTH FACTOR,0.339,SURFACE
PTH1R,DEXAMETHASONE,0.0877,SURFACE
PTH1R,PTHRP,2.4859,SURFACE
PTH1R,PCO-371,1.8644,SURFACE
PTH1R,TERIPARATIDE,2.7966,SURFACE
NR2F2,PYRIDABEN,2.1752,MUT
NR2F2,RESACTIN A,2.1752,MUT
NR2F2,CYCLOHEXIMIDE,0.0916,MUT
PANX3,CARBENOXOLONE,1.0876,SURFACE
PANX3,FLUFENAMIC ACID,0.6869,SURFACE
PPT1,PLITIDEPSIN,26.1019,SURFACE
PPT1,LAMOTRIGINE,2.3729,SURFACE
MYH7B,OMECAMTIV MECARBIL,2.1752,MUT
MYH7B,MAVACAMTEN,1.9335,MUT
MYH7B,DANICAMTIV,2.4859,MUT
NRP1,PEGAPTANIB,17.4013,SURFACE
NRP1,VESENCUMAB,17.4013,SURFACE
NRP1,PALIFERMIN,2.1752,SURFACE
NOTCH2,TAREXTUMAB,14.9154,SURFACE
NOTCH2,NOTCH SIGNALING PATHWAY INHIBITOR MK0752,0.7458,SURFACE
NOTCH2,MK-0752,1.4915,SURFACE
NOTCH2,NIROGACESTAT,0.5327,SURFACE
NOTCH2,ODEVIXIBAT,1.2429,SURFACE
NOTCH2,ENOTICUMAB,1.4915,SURFACE
NOTCH2,RO4929097,1.4915,SURFACE
PTPN12,CRIZOTINIB,0.6961,SURFACE
PTPN12,SUNITINIB,0.3625,SURFACE
PDGFRA,IMATINIB,0.2734,SURFACE
PDGFRA,TOVETUMAB,3.4232,SURFACE
PDGFRA,DASATINIB ANHYDROUS,0.1914,SURFACE
PDGFRA,RIPRETINIB,0.5135,SURFACE
PDGFRA,SUNITINIB,0.3566,SURFACE
PDGFRA,AST-487,0.0209,SURFACE
PDGFRA,SORAFENIB,0.0223,SURFACE
PDGFRA,QUIZARTINIB,0.045,SURFACE
PDGFRA,REGORAFENIB,0.0778,SURFACE
PDGFRA,FAMITINIB,0.2445,SURFACE
PDGFRA,CRENOLANIB,1.084,SURFACE
PDGFRA,BECAPLERMIN,0.8558,SURFACE
PDGFRA,MASITINIB,0.151,SURFACE
PDGFRA,ENMD-2076,0.0276,SURFACE
PDGFRA,CEDIRANIB,0.0306,SURFACE
PDGFRA,ZM447439,0.045,SURFACE
PDGFRA,PAZOPANIB,0.0901,SURFACE
PDGFRA,X-82,0.3423,SURFACE
PDGFRA,SU-014813,0.1223,SURFACE
PDGFRA,LINIFANIB,0.0214,SURFACE
PDGFRA,XL-999,0.0778,SURFACE
PDGFRA,VARGATEF,0.107,SURFACE
PDGFRA,ILORASERTIB,0.0148,SURFACE
PDGFRA,AMUVATINIB,0.489,SURFACE
PDGFRA,TANDUTINIB,0.1223,SURFACE
PDGFRA,PONATINIB,0.0987,SURFACE
PDGFRA,AVAPRITINIB,0.6846,SURFACE
PDGFRA,OLARATUMAB,2.1395,SURFACE
PDGFRA,NILOTINIB,0.0535,SURFACE
PDGFRA,MOTESANIB,0.2334,SURFACE
PDGFRA,CYC-116,0.0088,SURFACE
PDGFRA,MIDOSTAURIN,0.0489,SURFACE
PDGFRA,ORANTINIB,0.0658,SURFACE
PDGFRA,CENISERTIB,0.0073,SURFACE
PDGFRA,TAMATINIB,0.0106,SURFACE
PDGFRA,XL-820,0.2853,SURFACE
PDGFRA,RG-1530,0.0091,SURFACE
PDGFRA,VATALANIB,0.1426,SURFACE
PDGFRA,SERALUTINIB,0.1426,SURFACE
PDGFRA,PEGPLERANIB SODIUM,0.1426,SURFACE
PDGFRA,TAK-593,0.1712,SURFACE
PDGFRA,DOVITINIB,0.0254,SURFACE
PDGFRA,ENMD-981693,0.045,SURFACE
PDGFRA,CP-547632,0.0194,SURFACE
PDGFRA,RAMUCIRUMAB,0.2853,SURFACE
PDGFRA,MEPOLIZUMAB,0.2853,SURFACE
PDGFRA,RABEPRAZOLE,0.0329,SURFACE
PDGFRA,ROMIPLOSTIM,0.107,SURFACE
PDGFRA,FORETINIB,0.045,SURFACE
PDGFRA,NVP-TAE684,0.0083,SURFACE
PDGFRA,PD-0166285,0.0165,SURFACE
PDGFRA,AXITINIB,0.0408,SURFACE
PDGFRA,NINTEDANIB ESYLATE,0.1369,SURFACE
PDGFRA,BARASERTIB-HQPA,0.0372,SURFACE
PDGFRA,PP2,0.0285,SURFACE
PDGFRA,LENVATINIB,0.045,SURFACE
PDGFRA,XL820,0.1426,SURFACE
PDGFRA,VANDETANIB,0.0148,SURFACE
PDGFRA,BARASERTIB,0.0658,SURFACE
PDGFRA,TELATINIB,0.1223,SURFACE
PTPN13,ANTIESTROGEN,6.9605,SURFACE
PKD2,ALLOPURINOL,3.4803,SURFACE
NDUFA1,NV-128,0.348,SURFACE
NDUFA1,METFORMIN HYDROCHLORIDE,0.3107,SURFACE
NDUFA1,ME-344,0.3412,SURFACE
PRDX4,DOCETAXEL ANHYDROUS,1.2579,SURFACE
STK17A,AZD-1080,0.1806,SURFACE
STK17A,CYC-116,0.0317,SURFACE
STK17A,RG-1530,0.0327,SURFACE
STK17A,GSK-269962A,0.0698,SURFACE
STK17A,LY-2090314,0.1181,SURFACE
STK17A,PF-562271,0.0284,SURFACE
STK17A,GW441756X,0.0472,SURFACE
STK17A,TAMATINIB,0.0379,SURFACE
STK17A,PD-0166285,0.0591,SURFACE
STK17A,BELUMOSUDIL,0.3071,SURFACE
STK17A,SP-600125,0.0345,SURFACE
STK17A,PHA-767491,0.0465,SURFACE
STK17A,NVP-TAE684,0.0298,SURFACE
STK17A,HESPERADIN,0.0768,SURFACE
STK17A,CENISERTIB,0.026,SURFACE
STK17A,ILORASERTIB,0.0265,SURFACE
STOM,SR8185,2.9002,SURFACE
STOM,MPI-0485520,2.9002,SURFACE
STOM,BX-795,0.6445,SURFACE
STOM,AMLEXANOX,0.4462,SURFACE
STOM,GSK8612,2.9002,SURFACE
STOM,COMPOUND II [PMID: 21329883],2.9002,SURFACE
STOM,MRT67307,2.9002,SURFACE
STOM,COMPOUND 17D [PMID: 23099093],1.4501,SURFACE
STOM,BAY-985,1.1601,SURFACE
RTN4,ATI-355,20.8815,SURFACE
RTN4,ANTISENSE OLIGONUCLEOTIDES,0.6328,SURFACE
RTN4,ATINUMAB,10.4408,SURFACE
RTN4,OZANEZUMAB,10.4408,SURFACE
RTN4,HYPERBARIC OXYGEN,4.1763,SURFACE
SDC2,HEPARAN SULFATE,8.7006,SURFACE
S100A10,DEXAMETHASONE,0.6142,SURFACE
S100A10,THERAPEUTIC GONADOTROPIN,7.4577,SURFACE
SLC30A9,ASPIRIN,1.1731,SURFACE
RB1,BAY 61-3606,0.0707,DRIVER
RB1,PALBOCICLIB,0.3981,DRIVER
RB1,TOPOTECAN HYDROCHLORIDE,0.1208,DRIVER
RB1,REBEMADLIN,1.4501,DRIVER
RB1,PICTILISIB,0.0879,DRIVER
RB1,VCN-01,2.9002,DRIVER
RB1,LARGAZOLE,0.05,DRIVER
RB1,RIBOCICLIB,0.4834,DRIVER
RB1,DALPICICLIB,2.9002,DRIVER
RB1,FOSTAMATINIB,1.4501,DRIVER
RB1,FULVESTRANT,0.116,DRIVER
RB1,TRILACICLIB,0.4143,DRIVER
RB1,TRETINOIN,0.0319,DRIVER
RB1,PACLITAXEL,0.0264,DRIVER
RB1,TRAMETINIB DIMETHYL SULFOXIDE,0.0617,DRIVER
RB1,VEMURAFENIB,0.0784,DRIVER
RB1,ENTINOSTAT,0.2072,DRIVER
RB1,TALAZOPARIB,0.0518,DRIVER
RB1,OLAPARIB,0.0315,DRIVER
RB1,AURORA A KINASE INHIBITOR LY3295668 ERBUMINE,1.4501,DRIVER
RB1,CISPLATIN,0.0099,DRIVER
RB1,TRICHOSTATIN A,0.2175,DRIVER
RB1,DECITABINE,0.1208,DRIVER
RB1,LORLATINIB,0.2231,DRIVER
RB1,LY3295668,2.9002,DRIVER
RB1,SIROLIMUS,0.1,DRIVER
RB1,ALPELISIB,0.0403,DRIVER
RB1,NIRAPARIB,0.0853,DRIVER
RB1,LETROZOLE,0.1611,DRIVER
RB1,BARASERTIB,0.2231,DRIVER
RB1,TAZEMETOSTAT,0.3625,DRIVER
RB1,JQ1,0.58,DRIVER
RB1,SELICICLIB,0.3867,DRIVER
RB1,R547,0.4143,DRIVER
RB1,ALISERTIB,0.0604,DRIVER
RB1,VORINOSTAT,0.0777,DRIVER
